GeneName,Alias,FullName,PMID,Method,DiseaseModel,DiseaseName,DiseaseID,Fibrosis
ENG,,endoglin,22592898,RNAi/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ENG,,endoglin,20156938,RNAi/Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ENG,,endoglin,15539634,Inhibition/Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ENG,,endoglin,22941949,Up Regulation/Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ENG,,endoglin,25245471,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
FAS,TNFRSF6,Fas cell surface death receptor,10393694,Direct Treatment/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
FASLG,,Fas ligand,10393694,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
FAS,TNFRSF6,Fas cell surface death receptor,15148335,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
FASLG,,Fas ligand,15148335,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
FAS,TNFRSF6,Fas cell surface death receptor,12579197,RNAi/Activation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
FAS,TNFRSF6,Fas cell surface death receptor,23074025,RNAi,Skeletal Muscle Fibrosis,Fibrosis,MESH:D005355,pro
FASLG,,Fas ligand,22850679,Gene Overexpression,Tumor Fibrosis,Fibrosis,MESH:D005355,pro
FASLG,,Fas ligand,10791994,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
FGF1,,fibroblast growth factor 1,28750927,Direct Treatment,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
FGF1,,fibroblast growth factor 1,32965675,Activation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
FGF1,,fibroblast growth factor 1,26858440,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
FGF1,,fibroblast growth factor 1,24200746,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
FGF1,,fibroblast growth factor 1,17032753,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
FGF2,,fibroblast growth factor 2,32979454,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
FGF2,,fibroblast growth factor 2,29249393,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
FGF2,,fibroblast growth factor 2,27080571,Direct Treatment,Tumor Fibrosis,Fibrosis,MESH:D005355,pro
FGF2,,fibroblast growth factor 2,11168939,Direct Treatment,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
FGFR1,,fibroblast growth factor receptor 1,33131311,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
FGFR1,,fibroblast growth factor receptor 1,20554971,Gene Overexpression,Bone Marrow Fibrosis,primary myelofibrosis,MONDO:0009692,pro
FGFR1,,fibroblast growth factor receptor 1,28771231,RNAi/Inhibition,Fibrotic Disorders,Fibrosis,MESH:D005355,anti
FGFR1,,fibroblast growth factor receptor 1,33135394,Inhibition(Mutation)/Down Regulation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
FGFR2,,fibroblast growth factor receptor 2,30067981,Inhibition,Tumor Fibrosis,Fibrosis,MESH:D005355,pro
FGFR2,,fibroblast growth factor receptor 2,31860803,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
FGFR2,,fibroblast growth factor receptor 2,31830366,Gene Knockout,Cutaneous Fibrosis,keloid,MONDO:0005348,anti
FGFR2,,fibroblast growth factor receptor 2,28646122,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
FLT4,VEGFR3,fms related receptor tyrosine kinase 4,30833548,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
FLT4,VEGFR3,fms related receptor tyrosine kinase 4,33479195,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
FLT4,VEGFR3,fms related receptor tyrosine kinase 4,11175851,Gene Overexpression/Direct Treatment,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
FN1,,fibronectin,32173580,Gene Knockout,Ocular Fibrosis,Fibrosis,MESH:D005355,pro
FN1,,fibronectin,29653926,Gene Knockout/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
FN1,,fibronectin,24946284,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
FN1,,fibronectin,8286747,Inhibition,Bone Marrow Fibrosis,primary myelofibrosis,MONDO:0009692,pro
FOS,c-Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",32296036,Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
FOS,c-Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",9242432,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
FOS,c-Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",19027749,Direct Treatment/Activation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
FOXP1,,Forkhead box transcription factor P1,31177814,Gene Knockout/Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
FOXP1,,Forkhead box transcription factor P1,32648149,Gene Knockout/Activation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
FOXP1,,Forkhead box transcription factor P1,33408770,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
FOXP1,,Forkhead box transcription factor P1,21683954,Gene Overexpression,Vascular Fibrosis,atherosclerosis,MONDO:0005311,pro
GREM1,,"gremlin 1, DAN family BMP antagonist",32173580,Direct Treatment,Ocular Fibrosis,Fibrosis,MESH:D005355,pro
GREM1,,"gremlin 1, DAN family BMP antagonist",26141517,Gene Knockout/Direct Treatment,Pancreatic Fibrosis,chronic pancreatitis,MONDO:0005003,pro
GREM1,,"gremlin 1, DAN family BMP antagonist",25194662,Gene Overexpression,Peritoneal Fibrosis,Peritoneal Fibrosis,MESH:D056627,pro
GREM1,,"gremlin 1, DAN family BMP antagonist",25378054,Gene Overexpression/Direct Treatment,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
HBEGF,,heparin binding EGF like growth factor,11168942,Direct Treatment,Peritoneal Fibrosis,Peritoneal Fibrosis,MESH:D056627,pro
HBEGF,,heparin binding EGF like growth factor,12671899,Gene Overexpression,Pancreatic Fibrosis,chronic pancreatitis,MONDO:0005003,pro
HBEGF,,heparin binding EGF like growth factor,30451982,Gene Overexpression/Activation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
HBEGF,,heparin binding EGF like growth factor,15856048,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
HGF,,hepatocyte growth factor,18395096,Gene Overexpression,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
HGF,,hepatocyte growth factor,29079780,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
HGF,,hepatocyte growth factor,24859116,Direct Treatment/Activation,Fibrotic Disorders,Fibrosis,MESH:D005355,anti
HGF,,hepatocyte growth factor,25662495,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
HGF,,hepatocyte growth factor,16469408,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
HIF1A,HIF-1a,hypoxia inducible factor 1 subunit alpha,27625023,Gene Knockout,Adipose Tissue Fibrosis,Fibrosis,MESH:D005355,pro
HIF1A,HIF-1a,hypoxia inducible factor 1 subunit alpha,21606594,Gene Knockout/Gene Overexpression,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
HIF1A,HIF-1a,hypoxia inducible factor 1 subunit alpha,22403061,Gene Knockout/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
HIF1A,HIF-1a,hypoxia inducible factor 1 subunit alpha,33805152,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
HSPB1,HSP27,heat shock protein family B (small) member 1,31126962,RNAi/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
HSPB1,HSP27,heat shock protein family B (small) member 1,26744531,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
HSPB1,HSP27,heat shock protein family B (small) member 1,29650953,Inhibition,Myelofibrosis,primary myelofibrosis,MONDO:0009692,pro
HSPB1,HSP27,heat shock protein family B (small) member 1,23262200,Direct Treatment,Skeletal Muscle Fibrosis,Fibrosis,MESH:D005355,anti
ICAM1,,intercellular adhesion molecule 1,29222072,RNAi,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ICAM1,,intercellular adhesion molecule 1,12011223,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ICAM1,,intercellular adhesion molecule 1,31729904,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ICAM1,,intercellular adhesion molecule 1,17167153,Up Regulation,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
IFNG,,interferon gamma,8621153,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
IFNG,,interferon gamma,31173810,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IFNG,,interferon gamma,15361241,"Inhibition(Mutation,Review)",Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
IFNG,,interferon gamma,17923165,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IGF1,,insulin like growth factor 1,10347117,Direct Treatment,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IGF1,,insulin like growth factor 1,21723061,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
IGF1,,insulin like growth factor 1,23583271,Gene Knockout/RNAi,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IGF1,,insulin like growth factor 1,10325238,Gene Knockout/Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
IL10,,interleukin 10,30852423,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
IL10,,interleukin 10,19096025,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
IL10,,interleukin 10,30274824,Gene Knockout/Gene Overexpression,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro/anti
IL10,,interleukin 10,21864478,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
IL11,,interleukin 11,31554736,Gene Overexpression/Direct Treatment/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL11,,interleukin 11,29160304,Gene Knockout/Gene Overexpression/Direct Treatment,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
IL11,,interleukin 11,11590369,Gene Knockout/Gene Overexpression,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL11,,interleukin 11,8981933,Gene Overexpression,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL13,,interleukin 13,16327802,Direct Treatment/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL13,,interleukin 13,27745702,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
IL13,,interleukin 13,26436920,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL13,,interleukin 13,15546394,Gene Knockout(Review),Fibrotic Disorders,Fibrosis,MESH:D005355,pro
IL13RA1,,interleukin 13 receptor subunit alpha 1,26153764,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
IL13RA1,,interleukin 13 receptor subunit alpha 1,32695877,Up Regulation/Down Regulation,Tenden Fibrosis,Fibrosis,MESH:D005355,pro
IL13RA1,,interleukin 13 receptor subunit alpha 1,29094025,Gene Overexpression/RNAi,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IL13RA1,,interleukin 13 receptor subunit alpha 1,18266877,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL13RA2,,interleukin 13 receptor subunit alpha 2,15546394,Gene Knockout(Review),Fibrotic Disorders,Fibrosis,MESH:D005355,anti
IL13RA2,,interleukin 13 receptor subunit alpha 2,16327802,RNAi/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL13RA2,,interleukin 13 receptor subunit alpha 2,18938165,RNAi,Intestinal Fibrosis,Fibrosis,MESH:D005355,pro
IL17A,,interleukin 17A,28902427,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IL17A,,interleukin 17A,30257954,Up Regulation/Down Regulation,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL17A,,interleukin 17A,30366940,Inhibition/Up Regulation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IL18,,interleukin 18,22383501,Gene Overexpression,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL18,,interleukin 18,28549109,Gene Knockout/Activation/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
IL18,,interleukin 18,33181835,Direct Treatment/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
IL18,,interleukin 18,17766435,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL18,,interleukin 18,19865096,Direct Treatment,Cutaneous Fibrosis,keloid,MONDO:0005348,anti
IL1A,,interleukin 1 alpha,8317461,Inhibition,Bone Marrow Fibrosis,primary myelofibrosis,MONDO:0009692,pro
IL1A,,interleukin 1 alpha,21354232,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IL1A,,interleukin 1 alpha,23583823,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
IL1B,,interleukin 1 beta,25388157,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL1B,,interleukin 1 beta,8566579,Direct Treatment,Intestinal Fibrosis,Fibrosis,MESH:D005355,anti
IL1B,,interleukin 1 beta,33831572,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
IL1B,,interleukin 1 beta,21354232,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IL21,,interleukin 21,18161745,Activation(Review),Fibrotic Disorders,Fibrosis,MESH:D005355,pro
IL21,,interleukin 21,30760472,Inhibition,Systemic Sclerosis,systemic sclerosis,MONDO:0005100,pro
IL21,,interleukin 21,28665299,Inhibition(Review),Fibrotic Disorders,Fibrosis,MESH:D005355,pro
IL22,,interleukin 22,30366940,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
IL22,,interleukin 22,22687286,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
IL22,,interleukin 22,30765845,Direct Treatment/Inhibition,Intestinal Fibrosis,Fibrosis,MESH:D005355,pro
IL22,,interleukin 22,25476703,Direct Treatment/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
IL22,,interleukin 22,33443222,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
IL4,,interleukin 4,26195478,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
IL4,,interleukin 4,27745702,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
IL4,,interleukin 4,26436920,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL4,,interleukin 4,10377172,Inhibition,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
IL4,,interleukin 4,27760399,Direct Treatment,Inplant Fibrosis,cystic fibrosis,MONDO:0009061,anti
IL5,,interleukin 5,10377172,Gene Knockout/Inhibition,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
IL5,,interleukin 5,21435906,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
IL5,,interleukin 5,28853443,Inhibition,Fibrotic Disorders,Fibrosis,MESH:D005355,pro
IL5,,interleukin 5,14975941,Gene Knockout/Gene Overexpression/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
IL6,,interleukin 6,30765261,Direct Treatment,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
IL6,,interleukin 6,33236445,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
IL6,,interleukin 6,31965901,Inhibition,Vascular Fibrosis,atherosclerosis,MONDO:0005311,pro
IL6,,interleukin 6,19234091,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
IL6,,interleukin 6,21321532,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
IL7,,interleukin 7,11927620,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,anti
IL7,,interleukin 7,21393864,Down Regulation,Lymphoid Fibrosis,Fibrosis,MESH:D005355,anti
IL7,,interleukin 7,25352130,Direct Treatment,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ILK,,integrin linked kinase,28522687,Gene Knockout/RNAi/Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ILK,,integrin linked kinase,19541809,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ILK,,integrin linked kinase,31653783,Gene Knockout/RNAi/Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
ILK,,integrin linked kinase,18037995,Gene Overexpression/Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ILK,,integrin linked kinase,23612611,Gene Knockout/Up Regulation/Down Regulation,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
ILK,,integrin linked kinase,19687354,Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
IRF7,,interferon regulatory factor 7,31439591,Gene Knockout,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
IRF7,,interferon regulatory factor 7,24396025,Gene Knockout/Gene Overexpression,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
ITGA1,VLA-1,integrin subunit alpha 1,22698912,Up Regulation(SNPs),Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGA1,VLA-1,integrin subunit alpha 1,15451466,Inhibition,Fibrotic Disorders,Fibrosis,MESH:D005355,pro
ITGA1,VLA-1,integrin subunit alpha 1,11447218,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ITGA1,VLA-1,integrin subunit alpha 1,12512039,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGA2,,integrin subunit alpha 2,24480069,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ITGA2,,integrin subunit alpha 2,12512039,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGA2,,integrin subunit alpha 2,32692932,Gene Knockout/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro/anti
ITGA2,,integrin subunit alpha 2,12556543,Up Regulation,Peritoneal Fibrosis,Peritoneal Fibrosis,MESH:D056627,pro
ITGA3,,integrin subunit alpha 3,19041328,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ITGA3,,integrin subunit alpha 3,19411312,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGAV,,integrin subunit alpha V,25995225,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGAV,,integrin subunit alpha V,24216753,Gene Knockout/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGAV,,integrin subunit alpha V,27039906,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGAV,,integrin subunit alpha V,31932644,Gene Overexpression/RNAi,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGB1,,integrin subunit beta 1,31433301,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGB1,,integrin subunit beta 1,10921880,Gene Knockout,Cutaneous Fibrosis,keloid,MONDO:0005348,anti
ITGB1,,integrin subunit beta 1,8293568,Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ITGB1,,integrin subunit beta 1,29599141,RNAi,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ITGB2,CD18,integrin subunit beta 2,33178179,Activation/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGB2,CD18,integrin subunit beta 2,33752236,Inhibition/Down Regulation,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
ITGB3,,integrin subunit beta 3,31249375,RNAi/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGB3,,integrin subunit beta 3,15044441,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGB3,,integrin subunit beta 3,31505128,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGB5,,integrin subunit beta 5,27039906,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGB5,,integrin subunit beta 5,26973018,Inhibition,Ocular Fibrosis,Fibrosis,MESH:D005355,pro
ITGB5,,integrin subunit beta 5,20463011,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGB6,,integrin subunit beta 6,26448099,Gene Knockout/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
ITGB6,,integrin subunit beta 6,10025398,Gene Knockout,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGB6,,integrin subunit beta 6,17916808,Gene Knockout/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGB6,,integrin subunit beta 6,24167080,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGB8,,integrin subunit beta 8,24944194,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
ITGB8,,integrin subunit beta 8,12324452,RNAi,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
ITGB8,,integrin subunit beta 8,21878622,Up Regulation,Fibrotic Disorders,Fibrosis,MESH:D005355,pro
ITGB8,,integrin subunit beta 8,27834568,Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
JAK1,,Janus kinase 1,28478401,Inhibition,Cutaneous Fibrosis,keloid,MONDO:0005348,pro
JAK1,,Janus kinase 1,30765261,Inhibition/Up Regulation,Vascular Fibrosis,atherosclerosis,MONDO:0005311,pro
JAK1,,Janus kinase 1,30760472,Inhibition,Systemic Sclerosis,systemic sclerosis,MONDO:0005100,pro
JAK2,,Janus kinase 2,32647323,Inhibition,Myelofibrosis,primary myelofibrosis,MONDO:0009692,pro
JAK2,,Janus kinase 2,29650953,Activation/Inhibition,Myelofibrosis,primary myelofibrosis,MONDO:0009692,pro
JAK2,,Janus kinase 2,20154217,Inhibition,Myelofibrosis,primary myelofibrosis,MONDO:0009692,pro
JAK3,,Janus kinase 3,26032813,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,pro
JAK3,,Janus kinase 3,27745702,Inhibition,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
JAK3,,Janus kinase 3,25352130,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
JUN,cJUN,"Jun proto-oncogene, AP-1 transcription factor subunit",32493933,Gene Knockout/Gene Overexpression,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
JUN,cJUN,"Jun proto-oncogene, AP-1 transcription factor subunit",30778201,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
JUN,cJUN,"Jun proto-oncogene, AP-1 transcription factor subunit",22258492,Inhibition,Systemic Sclerosis,systemic sclerosis,MONDO:0005100,pro
JUN,cJUN,"Jun proto-oncogene, AP-1 transcription factor subunit",8981923,Up Regulation/Down Regulation,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
JUND,,"JunD proto-oncogene, AP-1 transcription factor subunit",17133482,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
JUND,,"JunD proto-oncogene, AP-1 transcription factor subunit",21515915,Gene Knockout,Systemic Sclerosis,systemic sclerosis,MONDO:0005100,pro
JUND,,"JunD proto-oncogene, AP-1 transcription factor subunit",16129800,Gene Knockout,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
JUND,,"JunD proto-oncogene, AP-1 transcription factor subunit",12975469,Gene Knockout,Renal Fibrosis,renal fibrosis,MONDO:0000494,anti
KLF2,,Kruppel like factor 2,25500203,Gene Overexpression/Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
KLF2,,Kruppel like factor 2,33408770,RNAi,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,anti
KLF2,,Kruppel like factor 2,22989565,RNAi,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,anti
LGALS3,,galectin 3,30612490,RNAi/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
LGALS3,,galectin 3,22095546,Gene Knockout/Inhibition,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
LGALS3,,galectin 3,26238446,Gene Knockout/Inhibition,Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
LGALS3,,galectin 3,16549783,Gene Knockout/RNAi,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
LGALS3,,galectin 3,21145823,Gene Knockout,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
LOX,,lysyl oxidase,32176358,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
LOXL1,,lysyl oxidase-like 1,32176358,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
LOXL2,,lysyl oxidase-like 2,32176358,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
LOX,,lysyl oxidase,22767499,Inhibition(Review),Myelofibrosis,primary myelofibrosis,MONDO:0009692,pro
LOX,,lysyl oxidase,23345161,Inhibition,Fibrotic Disorders,Fibrosis,MESH:D005355,pro
LOX,,lysyl oxidase,29672662,Inhibition,Intestinal Fibrosis,Fibrosis,MESH:D005355,pro
LOXL1,,lysyl oxidase-like 1,29115860,Gene Knockout/Gene Overexpression,Pulmonary Fibrosis,pulmonary fibrosis,MONDO:0002771,pro
LOXL1,,lysyl oxidase-like 1,33176449,Inhibition(Review),Cardiac Fibrosis,endomyocardial fibrosis,MONDO:0006746,pro
LOXL1,,lysyl oxidase-like 1,29366776,RNAi,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
LOXL2,,lysyl oxidase-like 2,28073888,Inhibition,Hepatic Fibrosis,fibrotic liver disease,MONDO:0100430,pro
