relation_type	source_name	source_type	source_id	target_name	target_type	target_id	key_sentence	pmid
Hetionet::DrD::Disease:Disease	ME/CFS	Disease	MONDO:0005404	long COVID	Disease	MONDO:0100233	"In addition, there was a striking similarity in symptoms between long COVID and ME/CFS, suggesting that studies on the mechanism and treatment of ME/CFS may help prevent and treat long COVID and vice versa."	34682970
HSDN::has_symptom:Disease:Symptom	post-exertional malaise	Symptom	SYMP:0019176	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"The most troublesome symptoms included fatigue (85%), pain (65%), cognitive impairment (50%), orthostatic intolerance (45%), sleep disturbance (35%), post-exertional malaise (30%), and neurosensory disturbance (30%)."	34682970
HSDN::has_symptom:Disease:Symptom	neurosensory disturbance	Symptom	SYMP:0000336	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"The most troublesome symptoms included fatigue (85%), pain (65%), cognitive impairment (50%), orthostatic intolerance (45%), sleep disturbance (35%), post-exertional malaise (30%), and neurosensory disturbance (30%)."	34682970
Hetionet::DrD::Disease:Disease	ME/CFS	Disease	MONDO:0005404	COVID-19	Disease	MONDO:0100096	"We discuss the implications of COVID-19, which has much in common with ME/CFS, with much overlap of symptoms, and propose a new taxonomic category, which we are terming post-active phase of infection syndromes (PAPIS) to include both."	34684049
PrimeKG::parent-child:Disease:Disease	pulmonary fibrosis sequelae (PFS)	Disease	MONDO:0002771	long-COVID	Disease	MONDO:0100233	"The subtypes are non-severe COVID-19 multi-organ sequelae (NSC-MOS), pulmonary fibrosis sequelae (PFS), myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS), postural orthostatic tachycardia syndrome (POTS), post-intensive care syndrome (PICS) and medical or clinical sequelae (MCS)."	34888989
PrimeKG::parent-child:Disease:Disease	myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	long-COVID	Disease	MONDO:0100233	"The subtypes are non-severe COVID-19 multi-organ sequelae (NSC-MOS), pulmonary fibrosis sequelae (PFS), myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS), postural orthostatic tachycardia syndrome (POTS), post-intensive care syndrome (PICS) and medical or clinical sequelae (MCS)."	34888989
PrimeKG::parent-child:Disease:Disease	postural orthostatic tachycardia syndrome (POTS)	Disease	MONDO:0011479	long-COVID	Disease	MONDO:0100233	"The subtypes are non-severe COVID-19 multi-organ sequelae (NSC-MOS), pulmonary fibrosis sequelae (PFS), myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS), postural orthostatic tachycardia syndrome (POTS), post-intensive care syndrome (PICS) and medical or clinical sequelae (MCS)."	34888989
PrimeKG::parent-child:Disease:Disease	post-intensive care syndrome (PICS)	Disease	MESH:C000711429	long-COVID	Disease	MONDO:0100233	"The subtypes are non-severe COVID-19 multi-organ sequelae (NSC-MOS), pulmonary fibrosis sequelae (PFS), myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS), postural orthostatic tachycardia syndrome (POTS), post-intensive care syndrome (PICS) and medical or clinical sequelae (MCS)."	34888989
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	long-COVID	Disease	MONDO:0100233	"Original studies supporting each of these subtypes are documented in this review, as well as their respective symptoms and potential interventions."	34888989
HSDN::has_symptom:Disease:Symptom	dyspnoea	Symptom	SYMP:0019153	long-COVID	Disease	MONDO:0100233	"Original studies supporting each of these subtypes are documented in this review, as well as their respective symptoms and potential interventions."	34888989
Hetionet::DrD::Disease:Disease	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	heat stroke	Disease	MESH:D018883	We here provide an overview of the pathophysiological mechanisms during heat stroke and describe similar mechanisms found in myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).	34966354
HSDN::has_symptom:Disease:Symptom	dizziness	Symptom	SYMP:0000610	long COVID	Disease	MONDO:0100233	"The most common 'long COVID' symptoms were fatigue, loss of smell and loss of taste, dizziness, muscle weakness, chest pain and respiratory problems."	35000003
biomarker	IFN-γ	Gene	ENTREZ:3458	myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"On average, TGF-β was elevated (P = 0.0052) and resistin was lower (P = 0.0052) in patients compared with controls. Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α."	28760971
biomarker	IL-5	Gene	ENTREZ:3567	myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"On average, TGF-β was elevated (P = 0.0052) and resistin was lower (P = 0.0052) in patients compared with controls. Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α."	28760971
associated_with	male reproductive dysfunction	Disease	MONDO:0003150	PM2.5	Compound	MESH:D052638	"These results demonstrate that PM2.5 restrained the expressions of BTB-associated proteins through activating TGF-β3/p38 MAPK pathway and decreasing testosterone secretion, and therefore lead to the damage of BTB resulting in the decrease of sperm quality, which might be the potential reasons for its negative effects on spermatogenesis and male reproduction."	29673083
associated_with	oxidative-redox stress	BiologicalProcess	GO:0006979	homocysteine	Metabolite	HMDB:HMDB0000742	"Importantly, elevated homocysteine may be considered a biomarker for impaired FOCM, which is known to result in increased oxidative-redox stress."	35056324
Hetionet::DrD::Disease:Disease	hyperhomocysteinemia	Disease	MONDO:0004743	Long COVID	Disease	MONDO:0100233	"Therefore, the incorporation of hyperhomocysteinemia will be discussed in relation to impaired FOCM in each of the previously listed clinical diseases."	35056324
biomarker	long-haul COVID-19	Disease	MONDO:0100233	cerebral blood flow	BiologicalProcess	GO:0120275	The cerebral blood flow reduction was larger in the long-haul COVID-19 patients compared with the ME/CFS patients with a normal heart rate and blood pressure response.	35056336
biomarker	ME/CFS	Disease	MONDO:0005404	Cerebral blood flow	BiologicalProcess	GO:0120275	Cerebral blood flow and cardiac index reductions during tilt were more severely impaired than in many patients with ME/CFS.	35056336
associated_with	cerebral blood flow	BiologicalProcess	GO:0120275	post-acute sequelae COVID	Disease	MONDO:0100233	"Because the two key features - post exertional malaise and decreased cerebral blood flow - are also recognized in a subset of patients with post-acute sequelae COVID, we suggest that our findings may also be pertinent to this entity."	35614970
GNBR::Md::Gene:Disease	IgG	Gene	ENTREZ:2212	long COVID	Disease	MONDO:0100233	"Based on these factors, we propose diagnostic strategies such as the measurement of IgG and IgM antibodies against SARS-CoV-2, EBV, HHV-6, viral superantigens, gut microbiota, and biomarkers of autoimmunity to better understand and manage this multi-factorial disorder that continues to affect millions of people in the world."	36851614
GNBR::Mp::Compound:Disease	nitric oxide (NO)	Compound	DrugBank:DB00435	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"In conclusion, this study in vitro shows a decreased NO production in HUVECs exposed to plasma from ME/CFS patients, suggesting an unreported role of eNOS in the pathophysiology of this disease."	35074481
upregulated_in	SCF	Compound	MESH:D019089	Bcl-2	Gene	ENTREZ:12043	Treatment with SCF increased the frequency of Bcl-2/Bcl-XL-positive bone marrow erythroid cells and sustained Akt activation in megakaryocytes	21868766
Hetionet::DrD::Disease:Disease	asthma bronchiale	Disease	MONDO:0004979	long COVID	Disease	MONDO:0100233	"We discover an immunoglobulin (Ig) signature, based on total IgM and IgG3 levels, which - combined with age, history of asthma bronchiale, and five symptoms during primary infection - is able to predict the risk of PACS independently of timepoint of blood sampling."	35078982
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	PACS	Disease	MONDO:0100233	"At 6 months, 76% of patients had PACS and the most common symptoms were fatigue, poor memory and hair loss."	35082169
GNBR::Md::Gene:Disease	nitric oxide synthase (eNOS)	Gene	ENTREZ:4846	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"In conclusion, this study in vitro shows a decreased NO production in HUVECs exposed to plasma from ME/CFS patients, suggesting an unreported role of eNOS in the pathophysiology of this disease."	35074481
HSDN::has_symptom:Disease:Symptom	poor memory	Symptom	SYMP:0000719	PACS	Disease	MONDO:0100233	"At 6 months, 76% of patients had PACS and the most common symptoms were fatigue, poor memory and hair loss."	35082169
HSDN::has_symptom:Disease:Symptom	hair loss	Symptom	SYMP:0000440	PACS	Disease	MONDO:0100233	"At 6 months, 76% of patients had PACS and the most common symptoms were fatigue, poor memory and hair loss."	35082169
Hetionet::DlA::Disease:Anatomy	hypertension	Disease	MONDO:0005044	Pulmonary	Anatomy	MESH:D008168	"Pulmonary structural changes such as hypertension, embolism and fibrosis are common in long COVID."	35449732
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	long-haul COVID	Disease	MONDO:0100233	"Clinical symptomatology includes fatigue, malaise, dyspnea, defects in memory and concentration and a variety of neuropsychiatric syndromes as the major manifestations, and several organ systems can be involved."	35105985
HSDN::has_symptom:Disease:Symptom	dyspnea	Symptom	SYMP:0019153	long-haul COVID	Disease	MONDO:0100233	"Clinical symptomatology includes fatigue, malaise, dyspnea, defects in memory and concentration and a variety of neuropsychiatric syndromes as the major manifestations, and several organ systems can be involved."	35105985
GNBR::T::Compound:Disease	Naltrexone hydrochloride (NTX)	Compound	DrugBank:DB00704	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"Collectively, these findings validate that TRPM3 loss of function results in altered Ca2+ influx supporting the growing evidence that ME/CFS is a TRP ion channel disorder and that NTX provides a potential therapeutic intervention for ME/CFS."	35172836
PrimeKG::parent-child:BiologicalProcess:BiologicalProcess	natural killer (NK) cell cytotoxic function	BiologicalProcess	GO:0042267	calcium (Ca2+) influx	BiologicalProcess	GO:0070509	NK cell effector functions rely on long-term sustained calcium (Ca2+) influx.	35172836
biomarker	TRPM3-dependent Ca2+ influx	BiologicalProcess	GO:0070509	ME/CFS	Disease	MONDO:0005404	TRPM3-dependent Ca2+ influx was restored in ME/CFS patients following overnight treatment of isolated NK cells with NTX in vitro.	35172836
treats	Naltrexone hydrochloride (NTX)	Compound	DrugBank:DB00704	TRPM3-dependent Ca2+ influx	BiologicalProcess	GO:0070509	TRPM3-dependent Ca2+ influx was restored in ME/CFS patients following overnight treatment of isolated NK cells with NTX in vitro.	35172836
biomarker	IL-7	Gene	ENTREZ:3574	myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"On average, TGF-β was elevated (P = 0.0052) and resistin was lower (P = 0.0052) in patients compared with controls. Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α."	28760971
biomarker	IL-13	Gene	ENTREZ:3596	myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"On average, TGF-β was elevated (P = 0.0052) and resistin was lower (P = 0.0052) in patients compared with controls. Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α."	28760971
associated_with	PI3K/Akt/mTOR	Pathway	KEGG:hsa04151	PM2.5	Compound	MESH:D052638	"The expression of SOD decreased and MDA increased. Moreover, the level of GRP78/ATF6 and P62 was upregulated, and the expression of PI3K/Akt/mTOR/p-mTOR was down-regulated."	31761553
biomarker	activation of microglia	BiologicalProcess	GO:0001774	long COVID-19	Disease	MONDO:0100233	The case is made that this shared chronicity arises from a positive feedback loop causing the persistence of the activation of microglia by the TNF that these cells generate.	35174650
associated_with	O2 exchange	BiologicalProcess	GO:0072592	Long COVID	Disease	MONDO:0100233	"Although the symptoms of Long COVID are multifarious, we here argue that the ability of these fibrin amyloid microclots (fibrinaloids) to block up capillaries, and thus to limit the passage of red blood cells and hence O2 exchange, can actually underpin the majority of these symptoms."	35195253
biomarker	platelet aggregation	BiologicalProcess	GO:0070527	ME/CFS	Disease	MONDO:0005404	"Lastly, we observed a slight increase in platelet aggregation in stimulated cells, suggestive of a possible role of platelet activity in ME/CFS pathophysiology and disease severity."	35943990
biomarker	lipid storage	BiologicalProcess	GO:0019915	ME/CFS	Disease	MONDO:0005404	We also found a large increase in intracellular giant lipid droplet-like organelles in the stimulated PBMCs from the extremely severe ME/CFS patient potentially indicative of a lipid storage disorder.	35943990
GNBR::J::Compound:Disease	Ochratoxin A (OTA)	Compound	MESH:C025589	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"Mold distributions (OTA, AF, and GT) in the urinalysis all demonstrated right skewness, while the distribution of age of ME/CFS patients diagnosed showed no deviation from normality."	35206241
Hetionet::DrD::Disease:Disease	Epstein-Barr virus viremia	Disease	MONDO:0005111	Post-acute sequelae of COVID-19 (PASC)	Disease	MONDO:0100233	"We resolved four PASC-anticipating risk factors at the time of initial COVID-19 diagnosis: type 2 diabetes, SARS-CoV-2 RNAemia, Epstein-Barr virus viremia, and specific auto-antibodies."	35216672
Hetionet::DrD::Disease:Disease	long COVID	Disease	MONDO:0100233	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"Because some presentations of post-COVID-19 conditions mimic disorders such as ME/CFS, treatment guidelines for this and related conditions can be helpful for managing post-COVID-19 symptoms."	35287333
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	long COVID	Disease	MONDO:0100233	"Common symptoms of the post-COVID-19 condition include, but are not limited to, fatigue, shortness of breath, and cognitive dysfunction."	35287333
associated_with	Ca2+ influx	BiologicalProcess	GO:0070509	transient receptor potential melastatin 3 (TRPM3)	Gene	ENTREZ:80036	"Collectively, these findings validate that TRPM3 loss of function results in altered Ca2+ influx supporting the growing evidence that ME/CFS is a TRP ion channel disorder and that NTX provides a potential therapeutic intervention for ME/CFS."	35172836
GNBR::A-::Compound:Gene	etanercept	Compound	DrugBank:DB00005	TNF	Gene	ENTREZ:7124	"While too large to negotiate the blood-brain barrier effectively, the specific anti-TNF biological, etanercept, shows promise when administered by the perispinal route, which allows it to bypass this obstruction."	35174650
associated_with	activation of microglia	BiologicalProcess	GO:0001774	TNF	Gene	ENTREZ:7124	The case is made that this shared chronicity arises from a positive feedback loop causing the persistence of the activation of microglia by the TNF that these cells generate.	35174650
GNBR::J::Compound:Disease	Aflatoxin (AF)	Compound	MESH:C012170	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"Mold distributions (OTA, AF, and GT) in the urinalysis all demonstrated right skewness, while the distribution of age of ME/CFS patients diagnosed showed no deviation from normality."	35206241
GNBR::Md::Gene:Disease	anti-M4 AchR	Gene	ENTREZ:1132	ME/CFS	Disease	MONDO:0005404	Elevated levels of antibodies against β2AdR and M4 receptors in ME/CFS patients support their usage as clinical biomarkers in the diagnostic algorithm of ME/CFS.	36300129
associated_with	infertility	Disease	MONDO:0005047	PM2.5	Compound	MESH:D052638	This suggests that early-life exposure to PM2.5 can induce autophagy through the PI3K/Akt/mTOR pathway mediated by unfolded protein response in adult testicular tissue.	31761553
HSDN::has_symptom:Disease:Symptom	shortness of breath	Symptom	SYMP:0019153	long COVID	Disease	MONDO:0100233	"Common symptoms of the post-COVID-19 condition include, but are not limited to, fatigue, shortness of breath, and cognitive dysfunction."	35287333
GNBR::Md::Gene:Disease	Endothelin-1 (ET-1)	Gene	ENTREZ:1906	Post-COVID Syndrome (PCS)	Disease	MONDO:0100233	The ET-1 concentration was significantly elevated in both ME/CFS and PCS patients compared to HCs and PCHCs.	35317812
HSDN::has_symptom:Disease:Symptom	profound fatigue	Symptom	SYMP:0019177	ME/CFS	Disease	MONDO:0005404	"with symptoms that overlap with conditions like ME/CFS (profound fatigue, unrefreshing sleep, post-exertional malaise, cognitive dysfunction, and orthostatic intolerance)."	35287333
HSDN::has_symptom:Disease:Symptom	unrefreshing sleep	Symptom	SYMP:0000566	ME/CFS	Disease	MONDO:0005404	"with symptoms that overlap with conditions like ME/CFS (profound fatigue, unrefreshing sleep, post-exertional malaise, cognitive dysfunction, and orthostatic intolerance)."	35287333
HSDN::has_symptom:Disease:Symptom	post-exertional malaise	Symptom	SYMP:0019176	ME/CFS	Disease	MONDO:0005404	"with symptoms that overlap with conditions like ME/CFS (profound fatigue, unrefreshing sleep, post-exertional malaise, cognitive dysfunction, and orthostatic intolerance)."	35287333
HSDN::has_symptom:Disease:Symptom	orthostatic intolerance	Symptom	MESH:D054971	ME/CFS	Disease	MONDO:0005404	"with symptoms that overlap with conditions like ME/CFS (profound fatigue, unrefreshing sleep, post-exertional malaise, cognitive dysfunction, and orthostatic intolerance)."	35287333
PrimeKG::associated_with:Gene:Disease	TPPP	Gene	ENTREZ:11076	Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"In the Norwegian discovery cohort, the TPPP gene region showed the most significant association (rs115523291, P = 8.5 × 10-7), but we could not replicate the top SNP."	35318112
PrimeKG::expression_present:Gene:Anatomy	TPPP	Gene	ENTREZ:11076	brain	Anatomy	MESH:D001921	"Interestingly, TPPP is expressed in brain tissues, hence it will be interesting to see whether this association, with time, will be verified in even larger cohorts."	35318112
HSDN::has_symptom:Disease:Symptom	insomnia	Symptom	SYMP:0000571	ME/CFS	Disease	MONDO:0005404	"We propose that disrupted TGFB signaling in ME/CFS may play a role in disrupting physiological rhythms in sleep, activity, and cognition, leading to the insomnia, energy disturbances, cognition problems, depression, and autonomic dysfunction associated with ME/CFS."	35465246
GNBR::Md::Gene:Disease	Endothelin-1 (ET-1)	Gene	ENTREZ:1906	Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS)	Disease	MONDO:0005404	The ET-1 concentration was significantly elevated in both ME/CFS and PCS patients compared to HCs and PCHCs.	35317812
GNBR::Mp::Compound:Disease	Angiopoietin-2 (Ang-2)	Compound	MESH:D042702	Post-COVID Syndrome (PCS)	Disease	MONDO:0100233	The serum Ang-2 concentration was lower in both PCS patients and PCHCs compared to HCs.	35317812
biomarker	IL-12p70	Gene	ENTREZ:3593	myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"On average, TGF-β was elevated (P = 0.0052) and resistin was lower (P = 0.0052) in patients compared with controls. Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α."	28760971
HSDN::has_symptom:Disease:Symptom	stomach pain	Symptom	MESH:D015746	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"From analyses using receiver operating characteristic statistics, the students who had had severe gastrointestinal symptoms of stomach pain, bloating, and an irritable bowel at baseline and who also had abnormally low levels of the immune markers IL-13 and/or IL-5 at baseline, as well as severe gastrointestinal symptoms when then contracted IM, were found to have a nearly 80% chance of having severe ME/CFS persisting six months following IM."	35350440
HSDN::has_symptom:Disease:Symptom	bloating	Symptom	SYMP:0000420	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"From analyses using receiver operating characteristic statistics, the students who had had severe gastrointestinal symptoms of stomach pain, bloating, and an irritable bowel at baseline and who also had abnormally low levels of the immune markers IL-13 and/or IL-5 at baseline, as well as severe gastrointestinal symptoms when then contracted IM, were found to have a nearly 80% chance of having severe ME/CFS persisting six months following IM."	35350440
Hetionet::DrD::Disease:Disease	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	infectious mononucleosis (IM)	Disease	MONDO:0005810	"From analyses using receiver operating characteristic statistics, the students who had had severe gastrointestinal symptoms of stomach pain, bloating, and an irritable bowel at baseline and who also had abnormally low levels of the immune markers IL-13 and/or IL-5 at baseline, as well as severe gastrointestinal symptoms when then contracted IM, were found to have a nearly 80% chance of having severe ME/CFS persisting six months following IM."	35350440
biomarker	glutamate metabolism	BiologicalProcess	GO:0006536	Post-exertional malaise (PEM)	Symptom	SYMP:0019176	"Numerous altered pathways were observed to depend on glutamate metabolism, a crucial component of the homeostasis of many organs in the body, including the brain."	35358096
associated_with	glutamate metabolism	BiologicalProcess	GO:0006536	brain	Anatomy	MESH:D001921	"Numerous altered pathways were observed to depend on glutamate metabolism, a crucial component of the homeostasis of many organs in the body, including the brain."	35358096
GNBR::T::Compound:Disease	melatonin	Compound	DrugBank:DB01065	long COVID	Disease	MONDO:0100233	This narrative review discusses the application of melatonin as a neuroprotective agent to control cognitive deterioration ("brain fog") and pain in the ME/CFS syndrome-like documented in long COVID.	36358996
GNBR::Md::Gene:Disease	IL-13	Gene	ENTREZ:3596	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"From analyses using receiver operating characteristic statistics, the students who had had severe gastrointestinal symptoms of stomach pain, bloating, and an irritable bowel at baseline and who also had abnormally low levels of the immune markers IL-13 and/or IL-5 at baseline, as well as severe gastrointestinal symptoms when then contracted IM, were found to have a nearly 80% chance of having severe ME/CFS persisting six months following IM."	35350440
associated_with	glutamate	Metabolite	HMDB:HMDB0029163	Post-exertional malaise (PEM)	Symptom	SYMP:0019176	"Numerous altered pathways were observed to depend on glutamate metabolism, a crucial component of the homeostasis of many organs in the body, including the brain."	35358096
HSDN::has_symptom:Disease:Symptom	Post-exertional malaise (PEM)	Symptom	SYMP:0019176	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	Post-exertional malaise (PEM) is a hallmark symptom of myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).	35358096
GNBR::Md::Gene:Disease	IL-5	Gene	ENTREZ:3567	myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"From analyses using receiver operating characteristic statistics, the students who had had severe gastrointestinal symptoms of stomach pain, bloating, and an irritable bowel at baseline and who also had abnormally low levels of the immune markers IL-13 and/or IL-5 at baseline, as well as severe gastrointestinal symptoms when then contracted IM, were found to have a nearly 80% chance of having severe ME/CFS persisting six months following IM."	35350440
GNBR::Md::Gene:Disease	ANG-1	Gene	ENTREZ:284	Long-COVID	Disease	MONDO:0100233	"Vascular transformation blood biomarkers were significantly elevated in Long-COVID, with angiogenesis markers (ANG-1/P-SEL) providing classification accuracy of 96%."	36217108
biomarker	IL-17F	Gene	ENTREZ:112744	myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)	Disease	MONDO:0005404	"On average, TGF-β was elevated (P = 0.0052) and resistin was lower (P = 0.0052) in patients compared with controls. Seventeen cytokines had a statistically significant upward linear trend that correlated with ME/CFS severity: CCL11 (Eotaxin-1), CXCL1 (GROα), CXCL10 (IP-10), IFN-γ, IL-4, IL-5, IL-7, IL-12p70, IL-13, IL-17F, leptin, G-CSF, GM-CSF, LIF, NGF, SCF, and TGF-α."	28760971
Hetionet::DuG::Disease:Gene	perforin	Gene	ENTREZ:5551	CFS/ME	Disease	MONDO:0005404	Co-expression of CD57 and perforin was significantly increased on CD56(dim) CD16(+) NK cells from patients with CFS/ME compared to the MS and non-fatigued control participants.	26381393
Hetionet::DuG::Disease:Gene	CD57	Gene	ENTREZ:27087	CFS/ME	Disease	MONDO:0005404	Co-expression of CD57 and perforin was significantly increased on CD56(dim) CD16(+) NK cells from patients with CFS/ME compared to the MS and non-fatigued control participants.	26381393
associated_with	hemoglobin	Gene	ENTREZ:3043	fatigue	Symptom	SYMP:0019177	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597
associated_with	lymphocyte	BiologicalProcess	GO:0046649	fatigue	Symptom	SYMP:0019177	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597
HSDN::has_symptom:Disease:Symptom	fatigue	Symptom	SYMP:0019177	long-term post-COVID	Disease	MONDO:0100233	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597
HSDN::has_symptom:Disease:Symptom	depression	Symptom	SYMP:0000022	ME/CFS	Disease	MONDO:0005404	"We propose that disrupted TGFB signaling in ME/CFS may play a role in disrupting physiological rhythms in sleep, activity, and cognition, leading to the insomnia, energy disturbances, cognition problems, depression, and autonomic dysfunction associated with ME/CFS."	35465246
Hetionet::DrD::Disease:Disease	orthostatic intolerance (OI)	Disease	MONDO:0005469	ME/CFS	Disease	MONDO:0005404	OI symptomatology and objective abnormalities of OI (abnormal cerebral blood flow and cardiac index reduction during tilt testing) are comparable to those in ME/CFS patients.	36292504
associated_with	neutrophil	BiologicalProcess	GO:0042119	fatigue	Symptom	SYMP:0019177	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597
associated_with	alanine transaminase	Gene	ENTREZ:2875	dyspnea	Symptom	SYMP:0019153	"Patients exhibiting post-COVID fatigue at 6 or 12 months exhibited a lower hemoglobin level, higher lymphocyte count, and lower neutrophil and platelets counts (all, p < 0.05), whereas those exhibiting post-COVID dyspnea at 6 or 12 months had a lower platelet count and lower alanine transaminase, aspartate transaminase, and lactate dehydrogenase (LDH) levels (all, p < 0.05) than those not developing post-COVID fatigue or dyspnea, respectively."	35381597
biomarker	lactate dehydrogenase (LDH)	Gene	ENTREZ:3939	fatigue	Symptom	SYMP:0019177	"The multivariate regression analyses revealed that a lower platelet count and lower LDH levels were associated but just explaining 4.5% of the variance, of suffering from post-COVID fatigue and dyspnea, respectively."	35381597
biomarker	lactate dehydrogenase (LDH)	Gene	ENTREZ:3939	dyspnea	Symptom	SYMP:0019153	"The multivariate regression analyses revealed that a lower platelet count and lower LDH levels were associated but just explaining 4.5% of the variance, of suffering from post-COVID fatigue and dyspnea, respectively."	35381597
