source_id	ttd_source_id	source_name	target_id	target_name	ttd_target_id	source_type	target_type	relation_type	resource
SYMBOL:	T15639		ICD-11:ED80	Acne vulgaris	ICD-11:ED80	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CASP8	T15700	CASP8	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TP53	T15739	TP53	ICD-11:NE84	Transplant rejection	ICD-11:NE84	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PDK1	T15776	PDK1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KLRC1	T15783	KLRC1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T15784		ICD-11:8B10-8B11	Ischemia	ICD-11:8B10-8B11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KCNK3	T15795	KCNK3	ICD-11:7A41	Obstructive sleep apnoea	ICD-11:7A41	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SMYD2	T15797	SMYD2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:F11	T15803	F11	ICD-11:DB61-GB90	Thrombosis	ICD-11:DB61-GB90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:DPP8	T15855	DPP8	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T15867		ICD-11:2A60	Acute myeloid leukaemia	ICD-11:2A60	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PRTN3	T15882	PRTN3	ICD-11:BA41-BA43	Myocardial infarction	ICD-11:BA41-BA43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CUL4A/CUL4B-DDB1-CRBN	T15894	CUL4A/CUL4B-DDB1-CRBN	ICD-11:2C82	Prostate cancer	ICD-11:2C82	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CCR1	T16016	CCR1	ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Onchoc GluCl	T16047	Onchoc GluCl	ICD-11:1F6B	Strongyloidiasis	ICD-11:1F6B	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TMPRSS6	T16087	TMPRSS6	ICD-11:3A50	Thalassaemia	ICD-11:3A50	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NOS1	T16117	NOS1	ICD-11:8A80	Migraine	ICD-11:8A80	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GAST	T16128	GAST	ICD-11:2B72	Stomach cancer	ICD-11:2B72	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ICOSLG	T16144	ICOSLG	ICD-11:4A43	Sjogren syndrome	ICD-11:4A43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MPL	T16156	MPL	ICD-11:QB63	Transplanted organ/tissue	ICD-11:QB63	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CCL5	T16263	CCL5	ICD-11:5A10	Diabetes mellitus	ICD-11:5A10	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PIN1	T16308	PIN1	ICD-11:2B6B	Nasopharyngeal cancer	ICD-11:2B6B	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IL1A	T16340	IL1A	ICD-11:5A11	Type 2 diabetes mellitus	ICD-11:5A11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PTPN1	T16347	PTPN1	ICD-11:5A11	Type 2 diabetes mellitus	ICD-11:5A11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GJA8	T16353	GJA8	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T16422		ICD-11:NE84	Transplant rejection	ICD-11:NE84	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TNF	T16486	TNF	ICD-11:6A20	Schizophrenia	ICD-11:6A20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FASN	T16514	FASN	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:EGFR	T16538	EGFR	ICD-11:2C30	Melanoma	ICD-11:2C30	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CEACAM5	T16601	CEACAM5	ICD-11:2D10	Thyroid cancer	ICD-11:2D10	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MV NP mRNA	T16605	MV NP mRNA	ICD-11:1D60	Filovirus disease	ICD-11:1D60	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SSTR1	T16633	SSTR1	ICD-11:2B72	Stomach cancer	ICD-11:2B72	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:DGAT1	T16688	DGAT1	ICD-11:5A11	Type 2 diabetes mellitus	ICD-11:5A11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HTR6	T16691	HTR6	ICD-11:6A20	Schizophrenia	ICD-11:6A20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ATP6V1A	T16731	ATP6V1A	ICD-11:1F29-1F2F	Fungal infection	ICD-11:1F29-1F2F	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:DLK1	T16738	DLK1	ICD-11:8B60	Motor neuron disease	ICD-11:8B60	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KDM1A	T16739	KDM1A	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PC DHPS	T16761	PC DHPS	ICD-11:CA40	Pneumonia	ICD-11:CA40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:XIAP	T16769	XIAP	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T16784		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:DIO1	T16792	DIO1	ICD-11:5A02	Thyrotoxicosis	ICD-11:5A02	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T16802		ICD-11:1C60-1C62	Human immunodeficiency virus disease	ICD-11:1C60-1C62	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PRMT1	T16808	PRMT1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CDH2	T16868	CDH2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CCL11	T16888	CCL11	ICD-11:DD71	Ulcerative colitis	ICD-11:DD71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CA12	T16987	CA12	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T17003		ICD-11:9B71	Retinopathy	ICD-11:9B71	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TOP2A	T17048	TOP2A	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:USP5	T17067	USP5	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:P2RX3	T17140	P2RX3	ICD-11:MG30-MG3Z	Pain	ICD-11:MG30-MG3Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:LEPR	T17163	LEPR	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CMV UL97	T17234	CMV UL97	ICD-11:1D82	Cytomegaloviral disease	ICD-11:1D82	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MeV F	T17248	MeV F	ICD-11:1C80	Viral encephalitis	ICD-11:1C80	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:DHFR	T17345	DHFR	ICD-11:GC08	Urinary tract infection	ICD-11:GC08	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SQSTM1	T17367	SQSTM1	ICD-11:CA00	Nasopharyngitis	ICD-11:CA00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GP1BA	T17427	GP1BA	ICD-11:DB61-GB90	Thrombosis	ICD-11:DB61-GB90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HNMT	T17448	HNMT	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MEN1-KMT2A	T17485	MEN1-KMT2A	ICD-11:2B33	Malignant haematopoietic neoplasm	ICD-11:2B33	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:RPE65	T17502	RPE65	ICD-11:9D90	Vision impairment	ICD-11:9D90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:INHBA	T17514	INHBA	ICD-11:2C73	Ovarian cancer	ICD-11:2C73	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:INHBB	T17514	INHBB	ICD-11:2C73	Ovarian cancer	ICD-11:2C73	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:INHBC	T17514	INHBC	ICD-11:2C73	Ovarian cancer	ICD-11:2C73	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:INHBE	T17514	INHBE	ICD-11:2C73	Ovarian cancer	ICD-11:2C73	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KCNA5	T17569	KCNA5	ICD-11:BC81	Supraventricular tachyarrhythmia	ICD-11:BC81	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TACSTD2	T17629	TACSTD2	ICD-11:2C92	Ureteral cancer	ICD-11:2C92	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T17687		ICD-11:2C92	Ureteral cancer	ICD-11:2C92	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HP	T17710	HP	ICD-11:5A10	Diabetes mellitus	ICD-11:5A10	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PLAU	T17758	PLAU	ICD-11:ND56	Unspecific body region injury	ICD-11:ND56	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PDE9A	T17852	PDE9A	ICD-11:3A51	Sickle-cell disorder	ICD-11:3A51	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PDK2	T17967	PDK2	ICD-11:5A2Y	Acute diabete complication	ICD-11:5A2Y	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FYN	T17980	FYN	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:EZH1	T17986	EZH1	ICD-11:2C92	Ureteral cancer	ICD-11:2C92	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CR2	T18059	CR2	ICD-11:5A10	Diabetes mellitus	ICD-11:5A10	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T18204		ICD-11:8A20	Alzheimer disease	ICD-11:8A20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CAMK2A	T18299	CAMK2A	ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CAMK2B	T18299	CAMK2B	ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CAMK2D	T18299	CAMK2D	ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CAMK2G	T18299	CAMK2G	ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:LASV GPC	T18356	LASV GPC	ICD-11:1D61	Arenavirus disease	ICD-11:1D61	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HSP90AA1	T18477	HSP90AA1	ICD-11:CA08	Vasomotor/allergic rhinitis	ICD-11:CA08	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CD80-CD274	T18551	CD80-CD274	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T18632		ICD-11:MB47	Tonus and reflex abnormality	ICD-11:MB47	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FGF1	T18639	FGF1	ICD-11:BA80	Coronary atherosclerosis	ICD-11:BA80	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MGLL	T18664	MGLL	ICD-11:8A05	Tic disorder	ICD-11:8A05	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MUC1	T18779	MUC1	ICD-11:2B72	Stomach cancer	ICD-11:2B72	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KISS1	T18872	KISS1	ICD-11:2C82	Prostate cancer	ICD-11:2C82	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PTGER4	T18876	PTGER4	ICD-11:ND56	Unspecific body region injury	ICD-11:ND56	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GNRH1	T18950	GNRH1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CD3G	T18972	CD3G	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CDC25C	T19011	CDC25C	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PLA2G2A	T19160	PLA2G2A	ICD-11:2C60-2C6Y	Breast cancer	ICD-11:2C60-2C6Y	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SLC46A1	T19229	SLC46A1	ICD-11:9B78	Vitreoretinopathy	ICD-11:9B78	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CYP2C9	T19244	CYP2C9	ICD-11:1A00-1C4Z	Bacterial infection	ICD-11:1A00-1C4Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IL21R	T19334	IL21R	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:LIPG	T19368	LIPG	ICD-11:BA80	Coronary atherosclerosis	ICD-11:BA80	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FGA	T19414	FGA	ICD-11:CA02-CB40	Ulcer	ICD-11:CA02-CB40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FGB	T19414	FGB	ICD-11:CA02-CB40	Ulcer	ICD-11:CA02-CB40	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HPGDS	T19433	HPGDS	ICD-11:1F70-1F86	Flatworm infection	ICD-11:1F70-1F86	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:OSM	T19556	OSM	ICD-11:4A42	Systemic sclerosis	ICD-11:4A42	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MGEA5	T19567	MGEA5	ICD-11:8A00	Parkinsonism	ICD-11:8A00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IL2RB	T19579	IL2RB	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CSF3	T19615	CSF3	ICD-11:4B00	Neutropenia	ICD-11:4B00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GUCY2D	T19693	GUCY2D	ICD-11:BB01	Pulmonary hypertension	ICD-11:BB01	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MAP3K9	T19760	MAP3K9	ICD-11:CA23	Asthma	ICD-11:CA23	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GH1	T19784	GH1	ICD-11:5A60-5A61	Pituitary gland disorder	ICD-11:5A60-5A61	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:FGF7	T19852	FGF7	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T19947		ICD-11:4A41	Idiopathic inflammatory myopathy	ICD-11:4A41	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CRTC1	T20017	CRTC1	ICD-11:CA07-CA4Z	Respiratory infection	ICD-11:CA07-CA4Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20059		ICD-11:CB27	Pleural effusion	ICD-11:CB27	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20089		ICD-11:1F40-1F45	Malaria	ICD-11:1F40-1F45	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20103		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TNF	T20178	TNF	ICD-11:CA08	Vasomotor/allergic rhinitis	ICD-11:CA08	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20185		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20210		ICD-11:2C10	Pancreatic cancer	ICD-11:2C10	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:KCNH2	T20251	KCNH2	ICD-11:7A00-7B2Z	Sleep-wake disorder	ICD-11:7A00-7B2Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20278		ICD-11:1A24-1D9Z	Virus infection	ICD-11:1A24-1D9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20297		ICD-11:NE84	Transplant rejection	ICD-11:NE84	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:NPY5R	T20331	NPY5R	ICD-11:5B80-5B81	Obesity	ICD-11:5B80-5B81	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CSF1R	T20333	CSF1R	ICD-11:2B72	Stomach cancer	ICD-11:2B72	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CA2	T20401	CA2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20474		ICD-11:2C73	Ovarian cancer	ICD-11:2C73	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ALAD	T20514	ALAD	ICD-11:EK90	Epidermal dysplasias	ICD-11:EK90	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Pseudo LasR	T20534	Pseudo LasR	ICD-11:1B92	Glanders	ICD-11:1B92	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:EGFR	T20563	EGFR	ICD-11:2C25	Non-small-cell lung cancer	ICD-11:2C25	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CCR8	T20575	CCR8	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PDE7B	T20578	PDE7B	ICD-11:MG30-MG3Z	Pain	ICD-11:MG30-MG3Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20593		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:ADM	T20629	ADM	ICD-11:CB00	Acute respiratory distress syndrome	ICD-11:CB00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CHRM4	T20709	CHRM4	ICD-11:CB40-CB7Z	Respiratory system disease	ICD-11:CB40-CB7Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20710		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SLC6A8	T20741	SLC6A8	ICD-11:2C11	Malignant digestive organ neoplasm	ICD-11:2C11	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:VEGFA	T20761	VEGFA	ICD-11:1A24-1D9Z	Virus infection	ICD-11:1A24-1D9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T20796		ICD-11:8B60	Motor neuron disease	ICD-11:8B60	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IDH1	T20808	IDH1	ICD-11:2A00	Brain cancer	ICD-11:2A00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IDH2	T20808	IDH2	ICD-11:2A00	Brain cancer	ICD-11:2A00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IDH3A	T20808	IDH3A	ICD-11:2A00	Brain cancer	ICD-11:2A00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IDH3B	T20808	IDH3B	ICD-11:2A00	Brain cancer	ICD-11:2A00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:IDH3G	T20808	IDH3G	ICD-11:2A00	Brain cancer	ICD-11:2A00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PDPK1	T20891	PDPK1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CDK5	T20973	CDK5	ICD-11:5B80-5B81	Obesity	ICD-11:5B80-5B81	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CD8A	T20978	CD8A	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CD8B	T20978	CD8B	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T21112		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:EPAS1	T21123	EPAS1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:Malaria AMA-1	T21291	Malaria AMA-1	ICD-11:1F40-1F45	Malaria	ICD-11:1F40-1F45	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:MAPKAPK2	T21307	MAPKAPK2	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T21312		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T21324		ICD-11:CA23	Asthma	ICD-11:CA23	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:TNFSF11	T21334	TNFSF11	ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T21351		ICD-11:FA20	Rheumatoid arthritis	ICD-11:FA20	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CD46	T21395	CD46	ICD-11:2A83	Multiple myeloma	ICD-11:2A83	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CHRNA10	T21434	CHRNA10	ICD-11:8E43	General pain disorder	ICD-11:8E43	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T21447		ICD-11:CA00	Nasopharyngitis	ICD-11:CA00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T21617		ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GSTP1	T21669	GSTP1	ICD-11:2A00-2F9Z	Solid tumour/cancer	ICD-11:2A00-2F9Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:GLA	T21678	GLA	ICD-11:5C56	Lysosomal disease	ICD-11:5C56	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:HTT	T21679	HTT	ICD-11:8A01	Choreiform disorder	ICD-11:8A01	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:APOE	T21689	APOE	ICD-11:8B00	Intracerebral haemorrhage	ICD-11:8B00	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:	T21701		ICD-11:ND51	Spine/trunk injury	ICD-11:ND51	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:PCNA	T21782	PCNA	ICD-11:9B70-9B7Z	Retina disorder	ICD-11:9B70-9B7Z	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:SELPLG	T21865	SELPLG	ICD-11:FA21	Psoriatic arthritis	ICD-11:FA21	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
SYMBOL:CEACAM3	T21890	CEACAM3	ICD-11:2C60-2C6Y	Breast cancer	ICD-11:2C60-2C6Y	Gene	Disease	DRUGBANK::treats::Compound:Disease	TTD
