Biomarker ID	Biomarker Name	Disease	ICD Code	Biomarker Type	Conclusion	UniProt ID	REF 1	Biomarker Location	Specific Aim	Molecular Type	Biomarker Measure	Treatment	Specific Conclusion	Biomarker Phase	Objective	Research Method	Research Results
BM003079	CD137natural ligand	Hepatitis B	ICD-11: 1E51 ; ICD-10: B18.1	Differentiation	Natural ligand of CD137 was upregulated significantly in circulating CD14(+) monocytes in patients with chronic hepatitis B infection and closely correlated with development of liver cirrhosis.		CD137-mediated pathogenesis from chronic hepatitis to hepatocellular carcinoma in hepatitis B virus-transgenic mice. J Immunol. 2010 Dec 15;185(12):7654-62. J Immunol. 2010 Dec 15;185(12):7654-62.				Higher						
BM003263	Forkhead box protein P3	Hepatitis B	ICD-11: 1E51 ; ICD-10: B18.1	Differentiation	Foxp3 expression was elevated in and mainly expressed by the CD4+ T cell sub-population of peripheral blood mononuclear cells and liver tissues of patients with hepatitis B.	Q9BZS1	Activated IL-23/IL-17 pathway closely correlates with increased Foxp3 expression in livers of chronic hepatitis B patients. BMC Immunol. 2011 Apr 14;12:25. BMC Immunol. 2011 Apr 14;12:25.				Higher						
BM003270	Transforming growth factor beta-2 proprotein	Hepatitis B	ICD-11: 1E51 ; ICD-10: B18.1	Differentiation	TGF-beta2, IL-8 and MCP-1 were overexpressed in HBV-associated hepatoma cells.	P61812	Expression patterns of cytokines and chemokines genes in human hepatoma cells. Yonsei Med J. 2002 Oct;43(5):657-64. Yonsei Med J. 2002 Oct;43(5):657-64.				Higher						
BM003084	HepaticCD56(+) T cells	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	Decrease in hepatic CD56(+) T cells and V alpha 24(+) natural killer T cells in chronic hepatitis C viral infection.		Decrease in hepatic CD56(+) T cells and V alpha 24(+) natural killer T cells in chronic hepatitis C viral infection. J Hepatol. 2002 Jul;37(1):101-8. J Hepatol. 2002 Jul;37(1):101-8.				Lower						
BM003080	V alpha 24(+) natural killer T cells	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	Decrease in hepatic CD56(+) T cells and V alpha 24(+) natural killer T cells in chronic hepatitis C viral infection.		Decrease in hepatic CD56(+) T cells and V alpha 24(+) natural killer T cells in chronic hepatitis C viral infection. J Hepatol. 2002 Jul;37(1):101-8. J Hepatol. 2002 Jul;37(1):101-8.				Lower						
BM003088	Antinuclear antibodies with the homogeneous pattern	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	Both ANA-H and SMA-AA is an appropriate marker for hepatitis C virus free 'primary' autoimmune chronic hepatitis.		Serum autoantibodies and the diagnosis of type-1 autoimmune hepatitis in Italy: a reappraisal at the light of hepatitis C virus infection. Gut. 1992 Sep;33(9):1260-3. Gut. 1992 Sep;33(9):1260-3.										
BM003081	Smooth muscle antibodies with antiactin specificity	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	Both ANA-H and SMA-AA is an appropriate marker for hepatitis C virus free 'primary' autoimmune chronic hepatitis.		Serum autoantibodies and the diagnosis of type-1 autoimmune hepatitis in Italy: a reappraisal at the light of hepatitis C virus infection. Gut. 1992 Sep;33(9):1260-3. Gut. 1992 Sep;33(9):1260-3.										
BM003082	IL28Bpolymorphisms	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	IL28B polymorphisms are predictors of therapy response in hepatitis C virus (HCV) patients.		IL28B polymorphisms are markers of therapy response and are influenced by genetic ancestry in chronic hepatitis C patients from an admixed population. Liver Int. 2012 Mar;32(3):476-86. Liver Int. 2012 Mar;32(3):476-86.										
BM003083	Hepatitis Cvirus-specificCD4(+) T-cell	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	Down-regulation of hepatitis C virus (HCV)-specific CD4(+) T-cell responses is a hallmark of chronic viral persistence in acute hepatitis C.		FOXP3 expression in hepatitis C virus-specific CD4+ T cells during acute hepatitis C. Gastroenterology. 2009 Oct;137(4):1280-8.e1-6. Gastroenterology. 2009 Oct;137(4):1280-8.e1-6.				Lower						
BM003085	CD8(+)CD28(-) T cells	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	Cells with cytotoxic potential such as CD8(+)CD28(-) T cells, NK and NKT cells as well as lineage(-)HLA-DR(+) DC were increased in per cent values, while CD4(+) T cells and CD4:CD8 ratio were decreased in hepatitis C group.		Significance of alterations in PBMC immunophenotype of children with chronic viral hepatitis C-- the role of dendritic cells. Scand J Immunol. 2006 Apr;63(4):311-9. Scand J Immunol. 2006 Apr;63(4):311-9.				Lower						
BM003086	CD68positive cells	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	Increases in intrahepatic CD68 positive cells, MAC387 positive cells, and proinflammatory cytokines (particularly interleukin 18) in chronic hepatitis C infection.		Participation of natural killer cells in the pathogenesis of bile duct lesions in biliary atresia. J Clin Pathol. 2013 Feb;66(2):99-108. J Clin Pathol. 2013 Feb;66(2):99-108.				Higher						
BM003087	CD56(+)CD3(-) cells	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	A higher frequency of perforin among intrahepatic CD56(+)CD3(-) cells was observed in HCV compared to HBV patients.		Fine characterization of intrahepatic NK cells expressing natural killer receptors in chronic hepatitis B and C. J Hepatol. 2009 Sep;51(3):458-67. J Hepatol. 2009 Sep;51(3):458-67.				Higher						
BM003138	Interleukin-2receptor	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	Soluble interleukin-2 receptor levels were significantly higher in the patients with hepatitis C than in subjects in a control group.		Correlation of soluble interleukin-2 receptor levels with severity of chronic hepatitis C virus liver injury and development of hepatocellular cancer. Surgery. 1996 Jul;120(1):100-5. Surgery. 1996 Jul;120(1):100-5.				Higher						
BM003139	Tumor necrosis factorreceptor	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	High levels of soluble tumor necrosis factor superfamily receptors in patients with hepatitis C virus infection and lymphoproliferative disorders.		High levels of soluble tumor necrosis factor superfamily receptors in patients with hepatitis C virus infection and lymphoproliferative disorders. J Hepatol. 2001 May;34(5):723-9. J Hepatol. 2001 May;34(5):723-9.				Higher						
BM003308	Forkhead box protein P3	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	In acute hepatitis C, generally only a low percentage of HCV-specific CD4(+) T cells expressed FOXP3(+).	Q9BZS1	FOXP3 expression in hepatitis C virus-specific CD4+ T cells during acute hepatitis C. Gastroenterology. 2009 Oct;137(4):1280-8.e1-6. Gastroenterology. 2009 Oct;137(4):1280-8.e1-6.				Lower						
BM003310	Killer cell lectin-like receptor subfamily B member 1	Hepatitis C	ICD-11: 1E51 ; ICD-10: B18.2	Differentiation	CD8(+) T cells specific for tissue-localized viruses such as hepatitis C virus express high levels of the C-type lectin CD161.	Q12918	Analysis of CD161 expression on human CD8+ T cells defines a distinct functional subset with tissue-homing properties. Proc Natl Acad Sci U S A. 2010 Feb 16;107(7):3006-11. Proc Natl Acad Sci U S A. 2010 Feb 16;107(7):3006-11.				Higher						
BM003544	Dehydrogenase/reductase SDR family member 9	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	Q9BPW9	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM003564	Ectonucleoside triphosphate diphosphohydrolase 3	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	O75355	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM003545	Glutaminyl-peptide cyclotransferase	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	Q16769	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM003560	Glycogen phosphorylase	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	P06737	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM003553	Grancalcin	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	P28676	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM003551	Long-chain-fatty-acid--CoA ligase 1	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	P33121	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM003548	Max dimerization protein 1	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	Q05195	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM003546	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta	Smallpox	ICD-11: 1E70 ; ICD-10: B03	Differentiation	Our re-analysis of more than 5.5 million data points, including 18,000 human genes, identified a transcriptional network that represented early infection biomarkers (EIB) with gene profile patterns similar across the animals used in this study.	Q14738	Transcriptional interactions during smallpox infection and identification of early infection biomarkers. Pac Symp Biocomput. 2007:100-11. Pac Symp Biocomput. 2007:100-11.										
BM003129	CD4+ cell	Zoster	ICD-11: 1E91 ; ICD-10: B02 ; ICD-9: 53	Differentiation	In HIV-1 infection the incidence of herpes zoster increases with the decrease of CD4+ cell counts and T-cell reactivity,		Herpes zoster, immunological deterioration and disease progression in HIV-1 infection. AIDS. 1995 Oct;9(10):1153-8. AIDS. 1995 Oct;9(10):1153-8.				Decreased						
BM003611	Zona pellucida sperm-binding protein 3	Zoster	ICD-11: 1E91 ; ICD-10: B02 ; ICD-9: 53	Differentiation	Use of a specific zona pellucida (ZP) protein 3 antiserum as a clinical marker for human ZP integrity and function.	P21754	Use of a specific zona pellucida (ZP) protein 3 antiserum as a clinical marker for human ZP integrity and function. Fertil Steril. 1996 Jan;65(1):139-45. Fertil Steril. 1996 Jan;65(1):139-45.										
BM003144	Hemagglutinin protein	Measles	ICD-11: 1F03	Differentiation	Expression of the hemagglutinin (H) protein of measles virus was sufficient for down regulation.		Mechanism of CD150 (SLAM) down regulation from the host cell surface by measles virus hemagglutinin protein. J Virol. 2004 Sep;78(18):9666-74. J Virol. 2004 Sep;78(18):9666-74.				Lower						
BM003145	MHCclass II protein	Measles	ICD-11: 1F03	Differentiation	Measles virus (MV) was reported to induce IFN-alpha/beta and to up-regulate MHC class II proteins.		Edmonston measles virus prevents increased cell surface expression of peptide-loaded major histocompatibility complex class II proteins in human pe... J Virol. 2003 Sep;77(17):9412-21. J Virol. 2003 Sep;77(17):9412-21.				Higher						
BM003146	Interleukin-2 receptor	Measles	ICD-11: 1F03	Differentiation	Levels of soluble interleukin-2 receptor and CD8 were higher in patients with measles than in those with other infectious diseases or in healthy children.		Immune activation in measles. N Engl J Med. 1989 Jun 22;320(25):1667-72. N Engl J Med. 1989 Jun 22;320(25):1667-72.				Higher						
BM003494	Granulysin	Measles	ICD-11: 1F03	Differentiation	Expression of granulysin in peripheral blood mononuclear cells was significantly lower in the patients than in the controls.	P22749	Gene expression profiles in peripheral blood mononuclear cells from patients with subacute sclerosing panencephalitis using oligonucleotide microar... J Neurovirol. 2005 Jul;11(3):299-305. J Neurovirol. 2005 Jul;11(3):299-305.				Lower						
BM003503	T-cell surface glycoprotein CD8 alpha chain	Measles	ICD-11: 1F03	Differentiation	Levels of soluble interleukin-2 receptor (3385 +/- 195 units per milliliter) and CD8 (4145 +/- 437 units per milliliter) were higher in patients with measles than in those with other infectious diseases (2377 +/- 440, P = 0.003; 2399 +/- 771, P = 0.0374) or in healthy children (865 +/- 138, P less than 0.0001; 1026 +/- 169, P less than 0.0001).	P01732	Immune activation in measles. N Engl J Med. 1989 Jun 22;320(25):1667-72. N Engl J Med. 1989 Jun 22;320(25):1667-72.				Higher						
BM003056	TNFR1mRNA	Aspergillosis	ICD-11: 1F20 ; ICD-10: B44	Differentiation	TNFR1 mRNA expression level and TNFR1 gene polymorphisms are predictive markers for susceptibility to develop invasive pulmonary aspergillosis.		TNFR1 mRNA expression level and TNFR1 gene polymorphisms are predictive markers for susceptibility to develop invasive pulmonary aspergillosis. Int J Immunopathol Pharmacol. 2010 Apr-Jun;23(2):423-36. Int J Immunopathol Pharmacol. 2010 Apr-Jun;23(2):423-36.										
BM003057	Procalcitonin	Candidosis	ICD-11: 1F23	Differentiation	In the early phase of IFI, procalcitonin was elevated in fewer than half of invasive candidiasis episodes and in only one patient (5.3%) with invasive aspergillosis.		Procalcitonin--a marker of invasive fungal infection Support Care Cancer. 2005 May;13(5):343-6. Support Care Cancer. 2005 May;13(5):343-6.										
BM003058	CD8+ T cells	Candidosis	ICD-11: 1F23	Differentiation	In HIV+ persons with reduced CD4+ T cells, oropharyngeal candidiasis (OPC) is often associated with the accumulation of CD8+ T cells at the epithelial/lamina propria interface within the lesion together with increased tissue-associated cytokines and chemokines.		Chemokine receptor expression in HIV-positive persons with oropharyngeal candidiasis. Oral Dis. 2006 Sep;12(5):493-9. Oral Dis. 2006 Sep;12(5):493-9.				Higher						
BM003059	CCR6+ IL-17-producing T cells	Candidosis	ICD-11: 1F23	Differentiation	Flow cytometry revealed a decreased number of CCR6+ IL-17-producing T cells in candidiasis patients, whereas the amount of CCR6+/CCR4+ cells was not altered.		Patients with chronic mucocutaneous candidiasis exhibit reduced production of Th17-associated cytokines IL-17 and IL-22. J Invest Dermatol. 2008 Nov;128(11):2640-5. J Invest Dermatol. 2008 Nov;128(11):2640-5.				Lower						
BM003111	Type 2 cytokine-producing CD4-/CD8- cells	Malaria	ICD-11: 1F40-1F4Z ; ICD-10: B50-B54	Differentiation	Patients with severe malaria had a significantly increased frequency of type 2 cytokine-producing CD4-/CD8- cells.		Frequency of cytokine-producing CD4-CD8- peripheral blood mononuclear cells in patients with Plasmodium falciparum malaria. Eur Cytokine Netw. 1999 Jun;10(2):155-60. Eur Cytokine Netw. 1999 Jun;10(2):155-60.				Higher						
BM003112	CD4(+)CD25(+)Foxp3(+) Tregs	Malaria	ICD-11: 1F40-1F4Z ; ICD-10: B50-B54	Differentiation	CD4(+)CD25(+)Foxp3(+) regulatory T cells (Tregs) regulate disease-associated immunity and excessive inflammatory responses, and numbers of CD4(+)CD25(+)Foxp3(+) Tregs are increased during malaria infection.		Plasmodium falciparum-mediated induction of human CD25Foxp3 CD4 T cells is independent of direct TCR stimulation and requires IL-2, IL-10 and TGFbeta. PLoS Pathog. 2009 Aug;5(8):e1000543. PLoS Pathog. 2009 Aug;5(8):e1000543.				Higher						
BM003062	miR-1	Chagas disease	ICD-11: IF53	Differentiation	Importantly, miR-1, miR-133a-2 and miR-208b were significantly less expressed among CCC than DCM samples		MicroRNAs miR-1, miR-133a, miR-133b, miR-208a and miR-208b are dysregulated in Chronic Chagas disease Cardiomyopathy. Int J Cardiol. 2014 Aug 20;175(3):409-17. Int J Cardiol. 2014 Aug 20;175(3):409-17.				Decreased						
BM003061	miR-133	Chagas disease	ICD-11: IF53	Differentiation	Three of them (miR-133b, miR-208a and miR-208b) were significantly reduced in DCM samples as compared to controls.		MicroRNAs miR-1, miR-133a, miR-133b, miR-208a and miR-208b are dysregulated in Chronic Chagas disease Cardiomyopathy. Int J Cardiol. 2014 Aug 20;175(3):409-17. Int J Cardiol. 2014 Aug 20;175(3):409-17.				Decreased						
BM003060	miR-208	Chagas disease	ICD-11: IF53	Differentiation	Three of them (miR-133b, miR-208a and miR-208b) were significantly reduced in DCM samples as compared to controls.		MicroRNAs miR-1, miR-133a, miR-133b, miR-208a and miR-208b are dysregulated in Chronic Chagas disease Cardiomyopathy. Int J Cardiol. 2014 Aug 20;175(3):409-17. Int J Cardiol. 2014 Aug 20;175(3):409-17.				Decreased						
BM003063	CD27+CD28+CD8+ T cells	Chagas disease	ICD-11: IF53	Differentiation	In contrast, the frequency of CD27(+)CD28(+)CD8(+) T cells in the total memory CD8(+) T cell population decreases, as disease becomes more severe, while the proportion of fully differentiated memory (CD27(-)CD28(-)) CD8(+) T cells increases.		Trypanosoma cruzi modulates the profile of memory CD8+ T cells in chronic Chagas' disease patients. Int Immunol. 2006 Mar;18(3):465-71. Int Immunol. 2006 Mar;18(3):465-71.										
BM003064	CD15s+Treg cells	Chagas disease	ICD-11: IF53	Differentiation	Collectively, we have identified CD15s as a biomarker instrumental in both phenotypic and functional analysis of FOXP3(+)CD4(+) T-cell subpopulations in health and disease.		Sialyl Lewis x (CD15s) identifies highly differentiated and most suppressive FOXP3high regulatory T cells in humans. Proc Natl Acad Sci U S A. 2015 Jun 9;112(23):7225-30. Proc Natl Acad Sci U S A. 2015 Jun 9;112(23):7225-30.										
BM003130	Atrial natriuretic peptide	Chagas disease	ICD-11: IF53	Differentiation	Significantly increased levels of atrial natriuretic peptide (ANP) and BNP but not C-type natriuretic peptide have been detected by our group and others in patients with CD or other types of dilated cardiomyopathy. Both ANP and BNP can be used as potent molecular markers in diagnosis and prognosis of CD.		Plasma ACE2 activity is an independent prognostic marker in Chagas' disease and equally potent as BNP. J Card Fail. 2010 Feb;16(2):157-63. J Card Fail. 2010 Feb;16(2):157-63.				Increased						
BM003131	Antigen 13	Chagas disease	ICD-11: IF53	Differentiation	Antigen 13 was shown to be a good marker of treatment efficacy using ELISA.		Biological markers for evaluating therapeutic efficacy in Chagas disease, a systematic review. Expert Rev Anti Infect Ther. 2014 Apr;12(4):479-96. Expert Rev Anti Infect Ther. 2014 Apr;12(4):479-96.				Increased						
BM003132	Procollagen type I carboxy-terminal propeptide	Chagas disease	ICD-11: IF53	Differentiation	High serum levels of PICP and PIIINP were observed throughout the infection, and increased levels of both biomarkers were associated with cardiac fibrosis.		Cell death and serum markers of collagen metabolism during cardiac remodeling in Cavia porcellus experimentally infected with Trypanosoma cruzi. PLoS Negl Trop Dis. 2013;7(2):e1996. PLoS Negl Trop Dis. 2013;7(2):e1996.				Increased						
BM003133	Procollagen type III amino-terminal propeptide	Chagas disease	ICD-11: IF53	Differentiation	High serum levels of PICP and PIIINP were observed throughout the infection, and increased levels of both biomarkers were associated with cardiac fibrosis.		Cell death and serum markers of collagen metabolism during cardiac remodeling in Cavia porcellus experimentally infected with Trypanosoma cruzi. PLoS Negl Trop Dis. 2013;7(2):e1996. PLoS Negl Trop Dis. 2013;7(2):e1996.				Increased						
BM003180	Heat shock 70 kDa protein	Chagas disease	ICD-11: IF53	Differentiation	The overall decrease in titers against KMP11, HSP70 and PFR2 24 months post-treatment was 67, 50 and 34% of patients, respectively.	P05456	Biological markers for evaluating therapeutic efficacy in Chagas disease, a systematic review. Expert Rev Anti Infect Ther. 2014 Apr;12(4):479-96. Expert Rev Anti Infect Ther. 2014 Apr;12(4):479-96.				Increased						
BM003167	Kinetoplastid membrane protein 11	Chagas disease	ICD-11: IF53	Differentiation	The overall decrease in titers against KMP11, HSP70 and PFR2 24 months post-treatment was 67, 50 and 34% of patients, respectively.	Q9U6Z1	Biological markers for evaluating therapeutic efficacy in Chagas disease, a systematic review. Expert Rev Anti Infect Ther. 2014 Apr;12(4):479-96. Expert Rev Anti Infect Ther. 2014 Apr;12(4):479-96.				Increased						
BM003169	Major paraflagellar rod protein	Chagas disease	ICD-11: IF53	Differentiation	The overall decrease in titers against KMP11, HSP70 and PFR2 24 months post-treatment was 67, 50 and 34% of patients, respectively.	Q01530	Biological markers for evaluating therapeutic efficacy in Chagas disease, a systematic review. Expert Rev Anti Infect Ther. 2014 Apr;12(4):479-96. Expert Rev Anti Infect Ther. 2014 Apr;12(4):479-96.				Increased						
BM003184	Metalloproteinase inhibitor 1	Chagas disease	ICD-11: IF53	Differentiation	Serum markers, such as TIMP-1 and -2, are higher during the severe stages of Chagas disease and represent cardiac damage and inflammation.	P01033	Scrutinizing the Biomarkers for the Neglected Chagas Disease: How Remarkable! Front Immunol. 2016 Aug 11;7:306. Front Immunol. 2016 Aug 11;7:306.				Increased						
BM003176	Metalloproteinase inhibitor 2	Chagas disease	ICD-11: IF53	Differentiation	Recently, studies have indicated that serum markers, such as A- and B-type natriuretic peptides (ANP and BNP, respectively), N-terminal pro-BNP, troponin I, TGF-, MMP-2, and TIMP-1 and -2, are higher during the severe stages of Chagas disease and represent cardiac damage and inflammation.	P16035	Scrutinizing the Biomarkers for the Neglected Chagas Disease: How Remarkable! Front Immunol. 2016 Aug 11;7:306. Front Immunol. 2016 Aug 11;7:306.				Increased						
BM003170	Shed-acute-phase-antigen	Chagas disease	ICD-11: IF53	Differentiation	Antibodies against antigen 13, among 5 others comprising the shed acute phase antigen (SAPA), have been demonstrated to be potential markers of cure efficacy [reviewed in Ref.	Q00773	Scrutinizing the Biomarkers for the Neglected Chagas Disease: How Remarkable! Front Immunol. 2016 Aug 11;7:306. Front Immunol. 2016 Aug 11;7:306.				Increased						
BM003166	Syndecan-4	Chagas disease	ICD-11: IF53	Differentiation	ICAM-1, galectin-3, and syndecan-4 have been found to be overexpressed in the hearts of mice chronically infected with T. cruzi	P31431	Scrutinizing the Biomarkers for the Neglected Chagas Disease: How Remarkable! Front Immunol. 2016 Aug 11;7:306. Front Immunol. 2016 Aug 11;7:306.				Increased						
BM003168	Tc24 protein	Chagas disease	ICD-11: IF53	Diagnostic	Tc24 purified from cultured T. cruzi has been used for the specific diagnosis of human Chagas disease.	Q1L1I2	Use of a 24-kilodalton Trypanosoma cruzi recombinant protein to monitor cure of human Chagas' disease. J Clin Microbiol. 1995 Aug;33(8):2086-90. J Clin Microbiol. 1995 Aug;33(8):2086-90.		Diagnosis								
BM003110	CD4+ blast T cells	Leishmaniasis	ICD-11: 1F54 ; ICD-10: B55, B55.9	Differentiation	Leishmaniasis patients showed an increase in the percentage of CD8+ blast T cells and a decline in the proportion of CD4+ blast T cells in cultures when results before and at the end of therapy were compared,		Leishmania-reactive CD4+ and CD8+ T cells associated with cure of human cutaneous leishmaniasis. Infect Immun. 1994 Jun;62(6):2614-8. Infect Immun. 1994 Jun;62(6):2614-8.				Higher						
BM003109	CD8+ blast T cells	Leishmaniasis	ICD-11: 1F54 ; ICD-10: B55, B55.9	Differentiation	Leishmaniasis patients showed an increase in the percentage of CD8+ blast T cells and a decline in the proportion of CD4+ blast T cells in cultures when results before and at the end of therapy were compared.		Leishmania-reactive CD4+ and CD8+ T cells associated with cure of human cutaneous leishmaniasis. Infect Immun. 1994 Jun;62(6):2614-8. Infect Immun. 1994 Jun;62(6):2614-8.				Lower						
BM003459	Forkhead box protein P3	Leishmaniasis	ICD-11: 1F54 ; ICD-10: B55, B55.9	Differentiation	Enhanced lesional Foxp3 expression and peripheral anergic lymphocytes indicate a role for regulatory T cells in Indian post-kala-azar dermal leishmaniasis.	Q9BZS1	Enhanced lesional Foxp3 expression and peripheral anergic lymphocytes indicate a role for regulatory T cells in Indian post-kala-azar dermal leishm... J Invest Dermatol. 2010 Apr;130(4):1013-22. J Invest Dermatol. 2010 Apr;130(4):1013-22.				Higher						
BM000008	sand fly saliva antibodies	Visceral leishmaniasis	ICD-11: 1F54.0 ; ICD-10: B55.0 ; ICD-9: 85	Differentiation	This trial provides evidence that LNs have a limited effect on sand fly exposure in VL endemic communities in India and Nepal and supports the use of sand fly s aliva antibodies as a marker to evaluate vector control interventions.		Serological markers of sand fly exposure to evaluate insecticidal nets against visceral leishmaniasis in India and Nepal: a cluster-randomized trial. PLoS Negl Trop Dis. 2011 Sep;5(9):e1296.	serum	Evaluate vector control interventions	Protein				Clinical trial	To quantify the effect of LNs on exposure to the sand fly vector of VL in India and Nepal, and to determine serological markers of sand fly exposure to evaluate insecticidal nets against visceral leishmaniasis	As part of a paired-cluster randomized controlled clinical trial in VL-endemic r egions of India and Nepal we tested the effect of LNs on sand fly biting by meas uring the antibody response of subjects to the saliva of Leishmania donovani vec tor Phlebotomus argentipes and the sympatric (non-vector) Phlebotomus papatasi. Fifteen to 20 individuals above 15 years of age from 26 VL endemic clusters were asked to provide a blood sample at baseline, 12 and 24 months post-intervention .	A total of 305 individuals were included in the study, 68 participants provided two blood samples and 237 gave three samples. A random effect linear regression model showed that cluster-wide distribution of LNs reduced exposure to P. argent ipes by 12% at 12 months (effect 0.88; 95% CI 0.83-0.94) and 9% at 24 months (ef fect 0.91; 95% CI 0.80-1.02) in the intervention group compared to control adjus ting for baseline values and pair. Similar results were obtained for P. papatasi .
BM003579	Activated RNA polymerase II transcriptional coactivator p15	Toxoplasmosis	ICD-11: 1F57 ; ICD-10: B58	Differentiation	By the separation of Toxoplasma lysate using two-dimensional gel electrophoresis and its analysis with human serum samples and mass spectrometry, the subtilisin-like protein (SUB1) was identified to be a potential marker for acute toxoplasmosis.	P53999	Identification of Toxoplasma gondii SUB1 antigen as a marker for acute infection by use of an innovative evaluation method. J Clin Microbiol. 2011 Jul;49(7):2419-25. J Clin Microbiol. 2011 Jul;49(7):2419-25.										
BM003113	N-Acetyltyramine-O,-glucuronide (NATOG)	Onchocerciasis	ICD-11: 1F6A ; ICD-10: B73	Differentiation	We suggest NATOG as a biomarker for tracking active onchocerciasis infections and provide a threshold concentration value of NATOG for future diagnostic tool development.		Validation of onchocerciasis biomarker N-acetyltyramine-O-glucuronide (NATOG). Bioorg Med Chem Lett. 2017 Aug 1;27(15):3436-3440. Bioorg Med Chem Lett. 2017 Aug 1;27(15):3436-3440.										
BM003509	Major sperm protein 2	Onchocerciasis	ICD-11: 1F6A ; ICD-10: B73	Diagnostic	Our data suggest that MSP2, like the previously described antigen Ov16, can be utilized as a diagnostic onchocerciasis antigen for monitoring the interruption of transmission.	P13263	Major sperm protein as a diagnostic antigen for onchocerciasis. Bioorg Med Chem. 2008 Aug 1;16(15):7206-9. Bioorg Med Chem. 2008 Aug 1;16(15):7206-9.		Diagnostic								
BM003508	OV-16 antigen	Onchocerciasis	ICD-11: 1F6A ; ICD-10: B73	Diagnostic	Our data suggest that MSP2, like the previously described antigen Ov16, can be utilized as a diagnostic onchocerciasis antigen for monitoring the interruption of transmission.	P31729	Major sperm protein as a diagnostic antigen for onchocerciasis. Bioorg Med Chem. 2008 Aug 1;16(15):7206-9. Bioorg Med Chem. 2008 Aug 1;16(15):7206-9.		Diagnostic								
BM003520	T-cell surface glycoprotein CD8 alpha chain	Schistosomiasis	ICD-11: 1F86 ; ICD-10: B65, B65.9	Differentiation	Soluble CD8 antigen circulated in increased amounts in hepatosplenic schistosomiasis.	P01732	T cell phenotype alterations in hepatosplenic schistosomiasis mansoni normalize after chemotherapy. Immunobiology. 1989 Oct;179(4-5):342-52. Immunobiology. 1989 Oct;179(4-5):342-52.				Higher						
