Biomarker ID	Biomarker Name	UniProt ID
BM002841	glomerular hyperfiltration (GH)	
BM001600	Gross hematuria	
BM001620	HDL-cholesterol	
BM001722	HTN	
BM003028	I2 -microglobulin	
BM001601	male gender	
BM001602	Proteinuria	
BM002842	renal blood flow (RBF)	
BM002701	sodium	
BM002843	total kidney volume (TKV)	
BM002928	urine osmolality	
BM001603	young age	
BM000664	18F-fluorodeoxyglucose (FDG)	
BM000662	18F-fluorodeoxyglucose (FDG)	
BM000663	18F-fluorodeoxyglucose (FDG)	
BM000673	3-nitrotyrosine (3-NT)	
BM002584	3-nitrotyrosine (3-NT)	
BM000734	Adrenergic beta-1 receptor (ADRB1)	
BM000735	Adrenergic beta-2 receptor (ADRB2)	
BM000736	Adrenergic beta-3 receptor (ADRB3)	
BM000783	Angiotensin II receptor type 1 (AGTR1)	
BM000784	Angiotensin II receptor type 2 (AGTR2)	
BM000785	Angiotensinogen (AGT)	
BM000786	Ankle brachial index (ABI)	
BM000807	Antichitobioside carbohydrate IgA (ACCA)	
BM000810	Antichitobioside carbohydrate IgA (ACCA)	
BM000835	Arginine vasopressin (AVP)	
BM000847	ATP-binding cassette sub-family B member 1 (ABCB1)	
BM000848	Atrial natriuretic peptide (ANP)	
BM000849	Atrial natriuretic peptide (ANP)	
BM000249	Brain natriuretic peptide (BNP)	
BM000028	Brain natriuretic peptide (BNP)	
BM000246	Brain natriuretic peptide (BNP)	
BM000247	Brain natriuretic peptide (BNP)	
BM000248	Brain natriuretic peptide (BNP)	
BM000053	Brain natriuretic peptide (BNP)	
BM000245	Brain natriuretic peptide (BNP)	
BM000929	Brain natriuretic peptide (BNP)	
BM000912	B-type natriuretic peptide (BNP)	
BM000910	B-type natriuretic peptide (BNP)	
BM000914	B-type natriuretic peptide (BNP)	
BM000933	B-type natriuretic peptide (BNP)	
BM000251	B-type natriuretic peptide (BNP)	
BM000252	B-type natriuretic peptide (BNP)	
BM000920	B-type natriuretic peptide (BNP)	
BM000918	B-type natriuretic peptide (BNP)	
BM000865	B-type natriuretic peptide (BNP)	
BM000908	B-type natriuretic peptide (BNP)	
BM000934	B-type natriuretic peptide (BNP)	
BM001119	B-type natriuretic peptide (BNP)	
BM000907	B-type natriuretic peptide (BNP)	
BM002663	Calgranulin A (S100A8)	
BM002664	Calgranulin B (S100A9)	
BM000982	Carotid intima-media thickness (CIMT)	
BM001100	Circulating endothelial cell (CEC)	
BM001180	Coronary artery calcium (CAC)	
BM001193	C-propeptide of collagen type II (PIICP)	
BM001255	C-terminal fragment of Type I collagen (PICP)	
BM001308	Cysteinyl leukotrienes (cysLTs)	
BM001827	Cysteinyl leukotrienes (cysLTs)	
BM001309	Cytochrome P450-PCN3 (CYP3A5)	
BM001328	Detection of apoptosing retinal cells (DARC)	
BM001344	Dihydroxyphenylacetic acid (DOPAC)	
BM002553	Dimethylacetals (DMA)	
BM001354	Dopamine beta-hydroxylase (DBH)	
BM001356	Dopamine D1 receptor (DRD1)	
BM001357	Dopamine D2 receptor (DRD2)	
BM001358	Dopamine D3 receptor (DRD3)	
BM001407	Electrocardiography (ECG)	
BM001417	Endothelial progenitor cell (EPC)	
BM001430	Eosinophil-derived neurotoxin (EDN)	
BM001462	Erythrocyte Sedimentation Rate (ESR)	
BM001457	Erythrocyte Sedimentation Rate (ESR)	
BM001458	Erythrocyte Sedimentation Rate (ESR)	
BM001459	Erythrocyte Sedimentation Rate (ESR)	
BM001460	Erythrocyte Sedimentation Rate (ESR)	
BM001461	Erythrocyte Sedimentation Rate (ESR)	
BM001487	Exhaled nitric oxide (eNO)	
BM001490	F(2)-isoprostanes (F2-IsoPs)	
BM000488	F(2)-isoprostanes (F2-IsoPs)	
BM001488	F(2)-isoprostanes (F2-IsoPs)	
BM001489	F(2)-isoprostanes (F2-IsoPs)	
BM000731	F(2)-isoprostanes (F2-IsoPs)	
BM000796	Flagellin (Anti-Cbir1)	
BM000801	Flagellin (Anti-Cbir1)	
BM001539	Florbetaben (18F-BAY94-9172)	
BM002517	Florbetaben (18F-BAY94-9172)	
BM001548	Fragment of exhaled nitric oxide (FENO)	
BM001549	Fragment of exhaled nitric oxide (FENO)	
BM001550	Fragment of exhaled nitric oxide (FENO)	
BM001559	Galectin-3 (LGALS3)	
BM001560	Ganglioside 2 (GM2)	
BM001562	Ganglioside 2 (GM2)	
BM001561	Ganglioside 3 (GM3)	
BM001563	Ganglioside 3 (GM3)	
BM003024	Heart-type fatty acidbinding protein (H-FABP)	
BM001627	Helical type II collagen (HELIX-II)	
BM002533	High-on-treatment platelet reactivity (HTPR)	
BM000756	Human chorionic gonadotropin (hCG)	
BM001724	Human homologue of breast regression protein 39 (BRP39)	
BM001729	Hyaluronic acid (HA)	
BM001727	Hyaluronic acid (HA)	
BM001728	Hyaluronic acid (HA)	
BM001730	Hydroxyeicosatetraenoic acid products (HETEs)	
BM001731	Hydroxysteroid (11-beta) dehydrogenase 2 (HSD11B2)	
BM002534	Immature platelet fraction (IPF)	
BM001911	Intercellular adhesion molecule-1 (ICAM-1)	
BM000603	Intercellular adhesion molecule-1 (ICAM-1)	
BM001916	Interferon-gamma (IFNG)	
BM001917	Interferon-gamma (IFNG)	
BM001929	Interleukin-6 (IL6)	
BM001919	Interleukin-6 (IL6)	
BM001920	Interleukin-6 (IL6)	
BM001924	Interleukin-6 (IL6)	
BM001923	Interleukin-6 (IL6)	
BM001932	Interleukin-8 (IL8)	
BM001938	Ischemia-modified albumin (IMA)	
BM001960	Kidney injury molecule-1 (KIM-1)	
BM001999	Leucocyte 8-hydroxy-2-deoxygyanosine (8-OHdG)	
BM002011	Lipoprotein lipase (LPL)	
BM002051	Macrophage migration inhibitory factor (MIF)	
BM000672	Malondialdehyde (MDA)	
BM002054	Malondialdehyde (MDA)	
BM002081	Matrix metalloproteinase-9 (MMP-9)	
BM002535	Mean platelet volume (MPV)	
BM003026	Monocyte chemotactic protein-1 (MCP-1)	
BM002225	Myeloperoxidase (MPO)	
BM002228	Myeloperoxidase (MPO)	
BM002229	Myeloperoxidase (MPO)	
BM000732	Myeloperoxidase (MPO)	
BM001240	Myeloperoxidase (MPO)	
BM002034	Myeloperoxidase (MPO)	
BM002044	Myeloperoxidase (MPO)	
BM002237	N-acetyl aspartate (NAA)	
BM002238	N-acetyl aspartate (NAA)	
BM002247	Natriuretic peptide precursor A (NPPA)	
BM002248	Natriuretic peptide precursor B (NPPB)	
BM002249	Natriuretic peptide precursor C (NPPC)	
BM002250	Natriuretic peptide receptor C (NPR3)	
BM002266	Neuropeptide Y (NPY)	
BM002269	Neuropeptide Y receptor 1 (NPY1R)	
BM002271	Neutrophil gelatinase associated lipocalin (NGAL)	
BM002275	Neutrophil gelatinase associated lipocalin (NGAL)	
BM002291	Nine-amino-acid peptide of type II collagen (Coll 2-1)	
BM002292	N-isopropyl-P[123I]-iodoamphetamine ([123I]IMP)	
BM000496	Nitric oxide (NO)	
BM002308	Nitric oxide (NO)	
BM002307	Nitric oxide (NO)	
BM002297	Nitric oxide (NO)	
BM002306	Nitric oxide (NO)	
BM002298	Nitric oxide synthase 3 (NOS3)	
BM002309	Non-Ceruloplasmin bound Copper (NCBC)	
BM002314	N-propeptide II of collagen type II (PIINP)	
BM002315	N-propeptide IIA of collagen type II (PIIANP)	
BM002351	Nuclear receptor subfamily 3, group C, member 2 (NR3C2)	
BM002388	Osteoprotogerin (OPG)	
BM002178	Osteoprotogerin (OPG)	
BM002389	Osteoprotogerin (OPG)	
BM000947	Parathyroid hormone (iPTH)	
BM002495	Peroxisome proliferator-activated receptor gamma (PPARG)	
BM002510	Phenylethanolamine N-methyltransferase (PNMT)	
BM002512	Phosphatidylcholine (PC)	
BM002516	Pittsburgh compound B(PIB)	
BM002519	Pittsburgh compound B(PIB)	
BM002561	Placental protein 13 (PP13)	
BM000207	Plasminogen activator inhibitor-1 (SERPINE1)	
BM002554	Polyunsaturated fatty acid (PUFA)	
BM002566	Pregnancy-associated plasma protein A (PAPP-A)	
BM002563	Pregnancy-associated plasma protein A (PAPP-A)	
BM002564	Pregnancy-associated plasma protein A (PAPP-A)	
BM002565	Pregnancy-associated plasma protein A (PAPP-A)	
BM000011	Progesterone receptor (PGR)	
BM002583	Prostaglandin E2 (PGE2)	
BM000686	Prostaglandin E2 (PGE2)	
BM002617	Pyridinoline (PYD)	
BM002645	Renin (REN)	
BM002644	Renin (REN)	
BM002702	Sodium channel nonvoltage-gated 1 alpha (SCNN1A)	
BM002703	Sodium channel nonvoltage-gated 1 beta (SCNN1B)	
BM002704	Sodium channel nonvoltage-gated 1 gamma (SCNN1G)	
BM002722	Solute carrier family 12, member 1 (SLC12A1)	
BM002721	Solute carrier family 12, member 3 (SLC12A3)	
BM002732	Sphingomyelin (SM)	
BM001310	Steroid 11-beta-hydroxylase (CYP11B1)	
BM001311	Steroid 18-hydroxylase (CYP11B2)	
BM002071	Tissue inhibitor of metalloproteinase (TIMP 1)	
BM002797	Tissue inhibitor of metalloproteinase (TIMP 1)	
BM002861	Transferase B, 1-3-galactosyltransferase(ABO)	
BM002863	Transferase B, 1-3-galactosyltransferase(ABO)	
BM002869	Transferase B, 1-3-galactosyltransferase(ABO)	
BM002871	Transferase B, 1-3-galactosyltransferase(ABO)	
BM002857	Transferase B, 1-3-galactosyltransferase(ABO)	
BM002859	Transferase B, 1-3-galactosyltransferase(ABO)	
BM002865	Transferase B, 1-3-galactosyltransferase(ABO)	
BM002867	Transferase B, 1-3-galactosyltransferase(ABO)	
BM002887	Triacylglycerides (TAGs)	
BM002921	Undercarboxylated matrix-carboxyglutamic acid protein (ucMGP)	
BM000604	Vascular cells adhesion molecule 1 (sVCAM-1)	
